,loss,acc,val_loss,val_acc
0,0.691487729549408,0.5224999785423279,0.6790180206298828,0.6169999837875366
1,0.6620839238166809,0.6044999957084656,0.6488537192344666,0.625
2,0.6145110726356506,0.6735000014305115,0.6035010814666748,0.6840000152587891
3,0.5782840847969055,0.6930000185966492,0.5895588397979736,0.6779999732971191
4,0.5450405478477478,0.7160000205039978,0.5854639410972595,0.6830000281333923
5,0.5297329425811768,0.7379999756813049,0.5805686712265015,0.6850000023841858
6,0.4988195300102234,0.7565000057220459,0.5593149662017822,0.7200000286102295
7,0.47990381717681885,0.7724999785423279,0.5678003430366516,0.7170000076293945
8,0.45350268483161926,0.7804999947547913,0.5550227761268616,0.7139999866485596
9,0.42821547389030457,0.7994999885559082,0.5499410629272461,0.7289999723434448
10,0.3987208306789398,0.824999988079071,0.5718486905097961,0.7139999866485596
11,0.37630289793014526,0.8395000100135803,0.5941702127456665,0.6990000009536743
12,0.3566206097602844,0.8460000157356262,0.5831610560417175,0.7319999933242798
13,0.33061620593070984,0.8634999990463257,0.5706787705421448,0.7310000061988831
14,0.313903272151947,0.8694999814033508,0.5923178791999817,0.7360000014305115
15,0.29409244656562805,0.8744999766349792,0.6424658894538879,0.7179999947547913
16,0.27265405654907227,0.8865000009536743,0.6870934963226318,0.6890000104904175
17,0.24711348116397858,0.9054999947547913,0.5875734090805054,0.75
18,0.2274533063173294,0.9125000238418579,0.643426775932312,0.7210000157356262
19,0.2090134173631668,0.9160000085830688,0.7038587331771851,0.699999988079071
20,0.19427725672721863,0.9265000224113464,0.6892964243888855,0.722000002861023
21,0.17343075573444366,0.9309999942779541,0.6458565592765808,0.7379999756813049
22,0.14951981604099274,0.9474999904632568,0.7011071443557739,0.7260000109672546
23,0.13653825223445892,0.9559999704360962,0.8127016425132751,0.7059999704360962
24,0.11771659553050995,0.965499997138977,0.7627597451210022,0.7300000190734863
25,0.10404423624277115,0.9649999737739563,0.8399815559387207,0.7300000190734863
26,0.09441020339727402,0.972000002861023,0.8382841944694519,0.7250000238418579
27,0.07809890806674957,0.9819999933242798,0.8639702200889587,0.7390000224113464
28,0.06933674961328506,0.9775000214576721,0.9443341493606567,0.7300000190734863
29,0.06206590309739113,0.9800000190734863,0.9120644330978394,0.7279999852180481
